,year,sid,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,unemployrt,poverty,l_income,l_prisoner,l_exp_subsidy,l_exp_pubwelfare,post,popwt
142,2010,14,0.012017553,0,14,5.5174966,156.72504,250.41307,589.2546,1874.0264,225.04509,5.470606,10.5,12.787283,10.834884,5.935936,4.5098147,7.295567,0,12520122.0
143,2000,15,0.39223176,2,2,5.9637456,106.432526,217.49034,696.4706,2451.6924,357.31647,5.2521625,2.9,8.968033138094086,10.853987,5.836248,4.1065726,6.7663407,0,6158275.5
144,2001,15,0.4589318,1,6,6.9569025,120.79407,226.29305,720.25,2481.0874,362.14636,6.4010243,4.2,9.159225476076172,10.814323,5.8669443,4.0652566,6.8040886,0,6158275.5
145,2002,15,0.49561402,5,6,6.05262,110.55228,220.43575,712.3533,2442.3325,339.1975,5.517582,5.2,9.78529751720524,10.814706,5.889805,4.257689,6.9455967,0,6158275.5
146,2003,15,0.4585221,2,7,5.617002,106.374054,222.40337,691.0242,2421.0608,345.17972,5.3178716,5.3,10.1312932648325,10.825641,5.948997,4.3832726,6.9652123,0,6158275.5
147,2004,15,0.45394632,3,2,5.215442,105.183586,194.78687,695.9645,2453.7336,348.09778,4.9513693,5.3,11.278740635722809,10.796715,5.982024,4.464229,6.985952,0,6158275.5
148,2005,15,0.49581435,3,8,5.842414,111.74437,185.13559,718.09174,2482.6648,356.84674,5.4649544,5.3,12.089069894304828,10.766294,5.9948034,4.6818986,6.9816647,0,6158275.5
149,2006,15,0.22989145,7,3,5.733727,113.81923,174.94203,723.98596,2397.2522,343.10495,5.4011073,5.0,12.174539717938645,10.801676,6.0240674,4.6807427,6.9699297,0,6158275.5
150,2007,15,0.4683206,5,4,5.617543,124.72851,180.9674,738.40546,2362.177,309.37747,5.3160367,4.6,11.98480660813525,10.817777,6.065067,4.7527947,7.0451117,1,6158275.5
151,2008,15,0.51047295,4,4,5.0823956,119.81511,187.81187,771.90857,2313.0425,276.3592,4.8929896,5.9,12.620235352796383,10.760199,6.1026254,4.773526,7.1579437,1,6158275.5
152,2009,15,0.4664489,3,7,4.91922,115.83817,191.95995,770.6778,2163.0378,218.16425,4.6511855,10.0,14.120983484507374,10.715218,6.118555,4.859153,7.0929413,1,6158275.5
153,2010,15,0.45875543,13,5,4.5213466,96.295395,187.62039,729.5317,2121.7349,203.11995,4.041341,9.9,13.80079102,10.743372,6.073015,4.920876,7.121458,1,6158275.5
154,2000,16,0.26704016,0,1,1.6299601,37.949722,212.7098,579.06104,2307.3857,190.42186,1.8071296,2.8,8.42207462028131,10.857055,5.64147,4.7133317,6.89284,0,2907060.2
155,2001,16,0.2764298,1,3,1.7737057,40.937126,213.27037,598.9804,2349.9473,195.28499,1.7382315,3.3,8.37597026134134,10.829016,5.6434836,4.7348127,7.0322146,0,2907060.2
156,2002,16,0.23011121,0,3,1.5534573,41.272537,225.1807,658.2069,2415.3083,205.58595,1.624069,3.9,9.250591019887079,10.814766,5.6920424,4.76517,7.021083,0,2907060.2
157,2003,16,0.21927498,0,1,1.7606453,39.825794,218.24959,616.754,2267.711,198.56557,1.7606453,4.4,9.289762763621408,10.800799,5.706876,4.732068,7.061813,0,2907060.2
158,2004,16,0.24568966,2,1,1.5432289,40.685123,228.43294,628.7956,2182.0554,197.56836,1.5432289,4.7,10.68328209696738,10.821497,5.7004457,4.6779532,7.1390557,0,2907060.2
159,2005,16,0.20034692,0,2,1.3973598,40.2789,232.55562,633.94727,2121.297,192.137,1.3973598,4.3,10.784579155372796,10.85771,5.7210274,4.6659846,7.157426,0,2907060.2
160,2006,16,0.23158693,0,0,1.9114144,44.16373,215.15147,623.35583,2074.857,172.12788,1.8108135,3.7,10.595707365819553,10.859825,5.695786,4.6081448,7.1893835,0,2907060.2
161,2007,16,0.24924925,0,4,1.3458651,44.81731,223.58185,578.5874,1917.7233,166.48352,1.3122185,3.8,10.642529472764064,10.847977,5.682907,5.102365,7.153107,0,2907060.2
162,2008,16,0.23859087,0,2,2.5800908,41.851086,214.04703,556.16034,1752.5183,146.62958,2.5800908,4.0,11.092949951933242,10.835179,5.682655,5.12041,7.1892414,0,2907060.2
163,2009,16,0.26977518,0,6,1.2756473,40.317165,213.36879,551.1803,1670.3258,131.05597,1.2756473,5.9,11.49119803416049,10.850463,5.689851,5.150819,7.282633,0,2907060.2
164,2010,16,0.2720079,0,0,1.2857865,33.331543,212.5504,549.12976,1578.649,124.49051,1.2857865,6.7,11.53924138,10.803182,5.742108,5.1440477,7.337619,0,2907060.2
165,2000,17,0.19042969,0,1,6.48387,78.57376,277.42523,824.2572,3072.242,249.22615,3.683145,3.8,9.019370274256197,10.85871,5.768717,4.085049,6.460618,0,2702063.2
166,2001,17,0.21791168,0,0,3.5213478,92.741585,285.11435,785.184,2948.6694,305.63004,3.1768682,4.3,9.650559817747286,10.83966,5.793895,4.7431846,6.6520004,0,2702063.2
167,2002,17,0.25635105,7,0,2.9611385,82.190575,263.883,747.0801,2804.6157,273.7914,2.5055788,5.1,10.085827459775972,10.8523035,5.8265963,4.778563,6.817905,0,2702063.2
168,2003,17,0.15754339,0,0,4.731717,85.05735,279.13345,831.7602,3008.2744,296.4705,3.5203977,5.6,10.529509449617999,10.867349,5.8455143,4.747129,6.7509713,0,2702063.2
169,2004,17,0.20033112,0,0,4.5977807,68.28835,273.37952,759.2368,3056.959,320.71405,4.5977807,5.6,11.220582682043858,10.766419,5.8227477,4.270031,6.981676,0,2702063.2
170,2005,17,0.1832869,1,2,3.793262,67.4149,289.45218,714.63556,2862.6733,350.70773,3.7557049,5.1,11.667698233616864,10.756583,5.8306127,4.345062,7.0360894,0,2702063.2
171,2006,17,0.4028287,2,3,4.5946655,69.0647,318.69614,735.3997,2804.4463,318.69614,4.48613,4.5,11.834085543988495,10.804868,5.7650323,4.2670603,7.0068083,0,2702063.2
172,2007,17,0.42387033,1,2,3.952387,73.82624,335.26395,736.48566,2670.1094,311.54962,3.8436058,4.1,10.944341323803124,10.839541,5.75359,4.1814075,7.0325227,1,2702063.2
173,2008,17,0.39001188,2,0,4.0667977,60.534103,308.10492,710.53796,2448.2842,266.9691,4.0308084,4.5,11.07766899793745,10.788968,5.727867,4.169732,7.0515594,1,2702063.2
174,2009,17,0.47424412,1,2,4.4999075,64.29468,301.31378,701.01355,2357.9155,214.48358,4.463908,6.6,12.948645257907687,10.724478,5.7400165,4.266014,7.0907884,1,2702063.2
175,2010,17,0.45401555,3,4,3.5294309,54.49441,274.58972,684.85077,2244.7886,212.0835,3.4588423,6.6,12.40626714,10.741363,5.766597,4.300441,7.0728683,1,2702063.2
176,2000,18,0.29084766,1,1,4.9147367,82.9139,187.49849,644.46716,1862.5325,236.16202,1.833477,4.3,14.014181435281445,10.734569,5.939939,4.562129,7.182271,0,4105912.0
177,2001,18,0.33863568,2,2,4.581462,82.74474,152.09947,682.5113,1808.4878,226.39003,1.9996436,5.2,14.815131682859562,10.765047,5.967201,4.664204,7.218498,0,4105912.0
178,2002,18,0.3062919,0,2,4.8012834,78.70586,168.22089,675.97546,1819.4099,234.30766,2.1366968,5.7,14.9884253876785,10.704457,5.99213,4.780031,7.2871313,0,4105912.0
179,2003,18,0.3300248,1,2,4.5215683,80.53887,142.46687,650.3564,1725.7651,206.16852,1.9735022,6.3,15.15132514421554,10.687092,6.0288444,4.9067783,7.2927732,0,4105912.0
180,2004,18,0.44706243,0,2,5.854432,81.069,134.20541,642.5487,1749.7557,217.60626,5.3831005,5.5,16.57699793656078,10.62386,6.0911074,5.028615,7.320193,0,4105912.0
181,2005,18,0.43821138,1,1,4.6813793,90.91731,143.71834,651.89435,1733.4408,216.72322,4.3610744,6.0,16.856365185026583,10.62101,6.183012,5.064277,7.3084254,0,4105912.0
182,2006,18,0.3589189,1,3,4.2082,87.96802,150.11624,669.5555,1727.145,225.17436,3.6613717,5.7,16.520536728550187,10.661931,6.164373,5.0698485,7.299884,0,4105912.0
183,2007,18,0.36641976,3,4,5.1835055,96.29907,163.37553,660.897,1678.3145,206.936,4.7317324,5.5,16.809466698116438,10.633111,6.280344,5.1634374,7.284255,1,4105912.0
184,2008,18,0.39655173,6,0,4.769777,95.86779,167.74503,697.4028,1820.3782,180.94455,4.580875,6.4,16.92918935754176,10.637513,6.239376,5.1265097,7.30141,1,4105912.0
185,2009,18,0.42174628,11,2,4.3273754,85.65381,132.71402,702.72815,1715.381,143.36783,4.139229,10.3,18.15324553151458,10.677477,6.2322316,5.182125,7.39969,1,4105912.0
186,2010,18,0.4586446,7,0,4.3309727,86.80473,120.71138,702.0113,1718.238,143.80219,4.192011,10.3,17.69417637,10.627067,6.1650076,5.2180367,7.417879,1,4105912.0
187,2000,19,0.5707647,8,6,12.924038,173.82831,481.2127,1068.2871,3331.2864,490.88266,12.370151,4.9,17.38407772331988,10.568543,6.7001524,4.7921653,6.808087,0,4365311.5
188,2001,19,0.5721007,10,9,11.571946,181.64029,482.97284,1072.9111,3223.3992,500.91974,11.248578,5.4,18.405861641100596,10.62223,6.71796,4.8024445,6.6803923,0,4365311.5
189,2002,19,0.5507511,6,9,13.639578,163.83594,470.2549,1043.0941,3066.076,464.29767,13.294563,5.9,18.337641415737544,10.626582,6.719944,5.124876,6.755714,0,4365311.5
190,2003,19,0.57348746,8,9,13.390592,160.6871,445.4894,1021.99567,2968.6528,450.6714,13.000797,6.2,18.26472145390644,10.589661,6.7172303,5.071484,6.63455,0,4365311.5
191,2004,19,0.5565204,13,7,13.102372,149.8327,458.58304,1035.3842,3060.568,450.0003,12.714323,5.5,19.383750227693668,10.646615,6.737187,4.884028,6.9904675,0,4365311.5
192,2005,19,0.51658237,10,13,10.251161,121.57876,448.34018,897.136,2570.5354,327.78653,9.112143,6.7,20.106876318840243,10.635543,6.7117205,4.922094,7.052469,0,4365311.5
193,2006,19,0.47282517,14,5,13.107053,138.60358,529.0398,1095.815,2624.4424,368.25687,12.500676,4.0,18.851742911463493,10.582993,6.760646,4.841515,7.062626,0,4365311.5
194,2007,19,0.5250317,14,6,14.525605,145.3021,535.99713,1080.3735,2714.4236,352.1366,14.088226,3.8,18.045866383306098,10.679205,6.7617693,4.9129834,7.0822554,1,4365311.5
195,2008,19,0.51888,9,6,12.458026,143.9236,495.83405,1048.0631,2580.5386,312.53296,12.2047205,4.6,17.389424079959802,10.598208,6.7842636,4.9921365,7.2147923,1,4365311.5
196,2009,19,0.54455286,13,7,11.9912615,139.4069,472.5781,1063.754,2586.4402,262.69702,11.741916,6.7,17.431553473544195,10.740367,6.8043094,5.0099206,7.2518706,1,4365311.5
197,2010,19,0.53367877,12,7,11.357343,116.04532,399.33307,1011.8056,2450.2688,220.31018,11.067842,7.4,17.33284163,10.582612,6.778116,5.038408,7.267761,1,4365311.5
198,2000,20,0.18623482,0,0,1.2096667,19.919178,65.72522,546.36615,1927.8861,106.61195,1.2096667,3.3,10.058539803275938,10.761789,4.9082484,5.151839,7.3774776,0,1289211.6
199,2001,20,0.18939394,0,1,1.517881,21.090557,65.987885,551.0707,1964.0582,133.49364,1.517881,3.8,10.353866003059728,10.716393,4.91361,5.133154,7.4065447,0,1289211.6
200,2002,20,0.21481481,0,2,1.1115108,21.436277,58.354313,552.97656,1952.3685,113.45349,1.1115108,4.4,11.186720304998543,10.7069235,5.016272,5.2251644,7.458246,0,1289211.6
201,2003,20,0.18685122,0,0,1.2592456,22.745125,60.050274,517.7861,1892.2527,114.591354,1.2592456,5.0,10.870988712437097,10.691876,5.0653057,5.215186,7.526475,0,1289211.6
202,2004,20,0.21107267,0,0,1.4076521,22.600637,58.02655,495.88458,1884.3771,101.89838,1.4076521,4.6,11.636747541496414,10.772813,5.0643826,5.2437963,7.6323833,0,1289211.6
203,2005,20,0.18266253,0,1,1.4801277,25.16217,63.48969,492.57092,1886.6176,105.01117,1.4801277,4.8,12.244551377180949,10.800697,5.060026,5.232773,7.609268,0,1289211.6
204,2006,20,0.20365535,0,1,1.740349,28.980595,59.474537,517.33765,1926.869,101.84825,1.740349,4.6,12.355948285907562,10.806835,5.0777626,5.260608,7.619421,0,1289211.6
205,2007,20,0.20916906,2,4,1.521167,26.544365,61.150913,513.0136,1842.7417,97.05046,1.521167,4.8,11.847153135885852,10.827012,5.1299086,5.2776127,7.577339,0,1289211.6
206,2008,20,0.15915915,0,4,2.3572907,25.321865,63.038517,498.7571,1877.8483,89.65309,2.3572907,5.5,12.255630693142336,10.775304,5.117463,5.2294297,7.5599213,0,1289211.6
207,2009,20,0.19298245,0,0,1.9751135,30.310396,59.253407,511.1746,1819.7633,77.63715,1.9751135,8.1,12.268797763563713,10.784897,5.1214657,5.1388927,7.6953826,0,1289211.6
208,2010,20,0.18115942,1,2,1.8055675,31.146038,59.73419,553.63214,1849.5781,74.47966,1.8055675,7.9,12.25258083,10.781723,5.087903,5.0560308,7.6906843,0,1289211.6
209,2000,21,0.45995575,4,16,8.329411,262.667,506.15698,763.7101,2816.9485,553.4797,8.484377,3.6,8.058317497767524,11.142543,6.122379,5.142881,6.868994,0,5471289.5
210,2001,21,0.4648429,7,10,8.5096855,258.05716,508.82574,792.8317,2784.4224,611.03735,8.853126,4.1,7.797390121553029,11.096258,6.116308,5.060185,6.9164457,0,5471289.5
211,2002,21,0.33427742,8,9,9.639246,252.1048,501.9736,747.1825,2692.976,639.2342,9.921095,4.5,8.369608904032756,11.132587,6.1181035,5.019148,6.959908,0,5471289.5
212,2003,21,0.33972335,6,10,9.7720375,247.59552,439.1461,719.2406,2501.1206,677.62103,9.7720375,4.5,8.953010830023869,11.03518,6.0931892,4.992967,7.016074,0,5471289.5
213,2004,21,0.3339336,5,13,9.609233,235.56453,449.12558,676.96216,2395.6313,661.80133,9.609233,4.3,9.337462782667748,11.096091,6.062539,5.0000324,7.06384,0,5471289.5
214,2005,21,0.39748228,4,18,10.1074505,263.26978,424.3115,657.7533,2352.747,623.8421,10.1074505,4.2,8.310265031261684,11.121112,6.0314736,4.9374013,7.0818005,0,5471289.5
215,2006,21,0.3404285,6,19,9.722694,255.99535,391.98843,667.0374,2270.5698,543.5449,9.722694,3.9,7.781325552328309,11.139686,6.012699,5.276053,7.11658,0,5471289.5
216,2007,21,0.32802835,1,24,9.896669,236.84123,376.4307,662.66595,2274.2332,507.21323,9.896669,3.6,8.138867060044378,11.142065,6.036934,5.3235497,7.159643,0,5471289.5
217,2008,21,0.32141504,3,37,8.774975,234.9664,366.02145,691.10486,2383.696,450.83432,8.774975,4.3,7.988038980109464,11.074684,6.0286326,5.3452883,7.1571345,0,5471289.5
218,2009,21,0.3183976,5,21,7.8049917,212.98758,355.1626,654.6437,2231.0037,348.01392,7.8049917,7.1,9.0314573090021,11.08592,5.9783106,5.5057387,7.290353,0,5471289.5
219,2010,21,0.32133165,7,8,7.499417,192.78734,329.7825,637.3109,2065.9673,314.81854,7.429655,7.4,8.893767967,11.067029,5.9787345,5.616463,7.3329535,0,5471289.5
220,2000,22,0.22734308,0,1,2.039857,94.89414,368.7082,499.35696,1720.4153,422.2667,1.9909003,2.8,8.63947912826636,10.988592,5.164619,4.816141,7.209129,0,6315575.0
221,2001,22,0.23733786,0,1,2.3216898,105.1417,358.96896,526.52026,1734.3022,451.80408,2.516517,3.7,8.40839724339118,11.072124,5.1469274,4.7756653,7.280715,0,6315575.0
222,2002,22,0.24940717,0,0,2.7855701,115.43209,354.52417,535.26416,1737.7126,428.1083,2.7855701,5.3,9.161176302753143,11.009109,5.1138716,4.7741904,7.063605,0,6315575.0
223,2003,22,0.27225065,0,2,2.251248,128.81963,327.6852,562.21704,1673.4652,410.22562,2.203007,5.8,9.647562308513272,11.008843,5.1031175,4.7384734,6.9163847,0,6315575.0
224,2004,22,0.2557456,1,1,2.7574348,120.68211,323.152,556.2762,1638.4161,355.5317,2.7413094,5.2,10.039336177414965,11.00285,5.097275,4.8738785,7.582895,0,6315575.0
225,2005,22,0.2438433,0,1,2.8789265,126.75364,321.5017,561.6818,1586.3047,306.00726,2.862753,4.8,10.233856176591416,11.043913,5.1537266,4.7226624,7.537086,0,6315575.0
226,2006,22,0.25448555,0,1,2.9205277,127.27597,345.69415,549.26117,1565.7601,280.94543,2.9049928,5.0,9.690170855526626,10.999312,5.1438775,4.653553,7.5547743,0,6315575.0
227,2007,22,0.25056946,0,0,2.920271,109.10629,325.64127,555.8145,1614.1797,233.71487,2.8892043,4.5,9.654928058040072,11.026419,5.179756,4.6848445,7.6319356,0,6315575.0
228,2008,22,0.24791402,0,0,2.5812354,109.29291,323.13358,560.4527,1654.5874,197.45679,2.565779,5.1,9.770950126511453,11.019989,5.1723447,4.683265,7.59354,0,6315575.0
229,2009,22,0.24561404,0,1,2.65697,114.67974,324.5036,530.08856,1640.2413,182.2098,2.65697,8.5,10.11333436540496,11.007966,5.157868,4.723422,7.629903,0,6315575.0
230,2010,22,0.24585395,2,3,3.2235231,105.51666,333.4658,579.72766,1606.9264,175.80482,3.2849238,8.9,10.3868673,11.024074,5.1569867,4.796463,7.65637,0,6315575.0
231,2000,23,0.46477538,15,16,6.9050546,141.52782,369.02304,720.3345,2351.0522,575.15283,6.8637686,3.7,9.820195065208383,10.961677,6.1995335,4.5415206,6.9553423,0,9905407.0
232,2001,23,0.4889851,14,6,6.899294,132.82167,375.26205,739.6002,2327.5671,550.3727,6.8684936,5.2,9.89450137559808,10.923724,6.21765,4.3068933,7.048218,0,9905407.0
233,2002,23,0.46349287,7,5,6.920346,120.92233,371.7083,724.3908,2188.044,507.52267,6.971381,6.2,11.033726173544721,10.854547,6.2468476,4.4562225,7.071891,0,9905407.0
234,2003,23,0.46436822,18,8,6.228475,114.53474,348.2043,695.2688,2122.3428,546.6301,6.208121,7.1,11.07999926723822,10.88506,6.2192545,4.541493,7.0050406,0,9905407.0
235,2004,23,0.4733592,10,13,6.5220203,114.98231,327.37906,651.52246,1977.7849,513.07916,6.5220203,7.0,12.595543035800718,10.794993,6.2062244,4.8834634,7.0604925,0,9905407.0
236,2005,23,0.48321846,2,2,6.3757005,135.29865,372.6085,714.8792,1967.3445,489.3274,6.568289,6.8,13.099225864300163,10.845446,6.2190194,4.7705555,7.2243457,0,9905407.0
237,2006,23,0.49241465,5,10,7.161505,141.03114,363.4439,756.3263,1973.1086,496.57065,7.1416945,6.9,13.162985260077045,10.870585,6.236142,4.7759337,7.15029,0,9905407.0
238,2007,23,0.47193953,6,11,6.5682406,132.39513,347.71057,744.1331,1891.4949,415.4437,6.5286136,7.2,13.575226220417283,10.857383,6.2098985,4.809948,7.1824446,1,9905407.0
239,2008,23,0.5013601,6,5,5.514799,131.73799,329.59384,743.4626,1834.2979,355.52536,5.5048447,8.4,13.96355076208251,10.828103,6.184485,4.791243,7.203485,1,9905407.0
240,2009,23,0.5001207,18,7,6.205669,123.78467,321.25043,757.49005,1779.3037,292.30392,6.185747,13.7,15.594447291061206,10.752634,6.1159005,4.881726,7.262717,1,9905407.0
241,2010,23,0.48777518,16,10,5.72225,115.9891,320.1937,745.48706,1685.1875,276.05063,5.883724,13.3,15.36210135,10.745938,6.0985126,4.9435153,7.2864094,1,9905407.0
242,2000,24,0.07514139,1,1,3.156621,77.61943,161.1549,545.9491,2471.9897,280.79294,3.073002,3.1,7.036421972089617,11.13733,4.8706374,5.0124745,7.2577443,0,5031185.0
243,2001,24,0.08195849,1,3,2.4605246,77.70296,145.39839,527.17255,2574.6392,310.79114,2.3984945,3.9,7.331598284414727,11.080279,4.9169846,5.049335,7.3277583,0,5031185.0
244,2002,24,0.08966218,0,3,2.2939994,80.638176,145.54607,574.1962,2501.893,283.51373,2.2120707,4.5,7.601105461910087,11.100436,4.983724,5.120446,7.422735,0,5031185.0
245,2003,24,0.07936508,0,2,2.5815191,79.39696,146.1709,563.0151,2362.3135,279.47485,2.5205383,4.9,8.132029049610699,11.044856,5.074369,5.214758,7.5500355,0,5031185.0
246,2004,24,0.25970516,0,5,2.278801,82.07717,150.1387,565.62665,2287.9363,272.60913,2.278801,4.6,8.243895434896066,11.078444,5.1739845,5.1716785,7.4632,0,5031185.0
247,2005,24,0.2514818,1,2,2.3046794,94.672226,163.25146,595.5292,2290.7312,286.2011,2.3046794,4.1,9.131741087103254,11.011225,5.225734,5.247552,7.5094995,0,5031185.0
248,2006,24,0.30409357,0,4,2.4578578,105.90077,171.1211,585.6475,2245.3403,257.7848,2.3997982,4.0,9.425865683678333,11.015115,5.1720114,5.0220447,7.409875,0,5031185.0
249,2007,24,0.3204026,1,2,2.2500923,92.50595,160.9592,577.1875,2248.0168,244.73633,2.2112978,4.6,9.336525360868256,11.0194645,5.213054,5.0756207,7.448127,0,5031185.0
250,2008,24,0.31658292,3,1,2.1034503,80.645134,148.16782,511.06125,2172.5168,195.73668,2.0841527,5.5,9.450358763726943,10.926298,5.253531,5.0693007,7.477551,0,5031185.0
251,2009,24,0.31389886,2,4,1.4262089,69.74932,142.46669,493.0057,2026.7584,164.70784,1.4262089,8.0,10.756659672461508,10.951087,5.259894,5.1290784,7.5726933,0,5031185.0
252,2010,24,0.3211334,2,9,1.8183192,64.17152,136.999,462.44025,1959.0306,162.64487,1.8183192,7.1,10.71281712,10.8695965,5.223294,5.295074,7.616672,0,5031185.0
253,2000,25,0.48131704,0,0,9.275277,98.31794,228.79018,979.1055,2537.352,253.45149,6.2198915,5.6,17.814897477270115,10.678814,6.6015544,4.2784452,7.0618105,0,2847116.8
254,2001,25,0.43260473,3,0,10.207864,119.23654,191.23456,1079.4635,2545.2693,342.9046,6.7690444,5.6,19.194186874858826,10.522557,6.655197,4.33806,7.149149,0,2847116.8
255,2002,25,0.44696066,1,0,9.512735,120.92705,184.16512,1066.3271,2539.1797,343.1431,6.6661215,6.7,19.15378453726488,10.530174,6.5763125,4.30792,7.306927,0,2847116.8
256,2003,25,0.42141908,2,0,9.585377,108.27527,178.56802,1061.3561,2452.241,322.95898,6.7133536,6.4,18.60489328100986,10.56615,6.605502,4.246086,7.3648777,0,2847116.8
257,2004,25,0.44586498,0,0,8.092611,89.23262,166.7363,986.1221,2332.9536,280.88846,6.3457475,6.4,19.57998280231071,10.599555,6.6174693,4.1724563,7.401577,0,2847116.8
258,2005,25,0.42079002,1,0,7.577485,85.15819,154.55945,951.293,2155.4404,265.2828,5.771636,7.8,20.94604547340869,10.510968,6.588117,4.1146765,7.4338884,0,2847116.8
259,2006,25,0.4496005,0,1,7.9710293,111.80056,153.99205,932.8853,1994.7501,285.3766,6.287493,6.8,20.21233173225587,10.533695,6.5845866,4.1013217,7.2710624,0,2847116.8
260,2007,25,0.4623133,0,0,7.019674,99.066864,149.71863,936.8168,1968.7432,245.89503,5.5400367,6.3,20.073513876587253,10.576458,6.648796,4.1960206,7.320605,1,2847116.8
261,2008,25,0.45407504,1,0,8.017021,105.93431,160.99136,884.2705,1859.7433,217.65869,6.5095468,7.0,20.23030091236437,10.516156,6.658742,4.047026,7.332105,1,2847116.8
262,2009,25,0.45503536,2,0,6.638743,101.60014,147.04474,1011.51855,1790.7153,186.12434,5.338371,9.6,21.231863228208496,10.481701,6.600035,4.2381196,7.4868355,1,2847116.8
263,2010,25,0.5253688,1,0,7.0297036,93.9209,138.1945,1028.9053,1783.4493,181.15005,5.745431,10.7,21.12689527,10.544947,6.5680695,4.3350983,7.4680805,1,2847116.8
264,2000,26,0.44156358,3,9,6.386715,139.84514,333.56323,767.2341,2936.3982,454.5243,6.1106324,3.3,10.697416398912381,10.952524,6.2225366,4.7388163,6.839212,0,5688724.5
265,2001,26,0.44614592,11,10,6.8037214,142.12828,383.0934,786.031,3062.0405,512.36414,6.657405,4.5,11.080244407231259,10.837834,6.2652125,4.783031,6.9598455,0,5688724.5
266,2002,26,0.43237472,7,6,6.011664,127.57078,394.79016,775.90424,2904.5056,506.3238,5.993502,5.2,11.453346126735687,10.855975,6.3038306,4.8652296,7.0984297,0,5688724.5
267,2003,26,0.4482501,6,10,5.221552,120.80033,355.78824,758.78723,2920.022,541.1443,5.221552,5.6,11.80692254920861,10.856669,6.30537,4.849817,7.08788,0,5688724.5
268,2004,26,0.43408749,5,9,6.3371425,118.68716,353.788,724.5108,2833.1682,463.52438,6.390847,5.7,13.169118997571477,10.79216,6.321483,4.9057264,7.06405,0,5688724.5
269,2005,26,0.4692885,5,6,7.137898,127.77193,377.38528,760.34595,2828.3123,456.31055,7.17341,5.3,13.508010603862633,10.779143,6.3049827,4.960332,7.1325417,0,5688724.5
270,2006,26,0.4747927,4,8,6.3326745,130.0252,379.36145,765.17535,2628.4536,434.81512,6.3155594,4.8,13.403037253412927,10.783259,6.2467237,4.350724,7.0121813,0,5688724.5
271,2007,26,0.498705,7,15,6.290015,132.34741,394.53992,768.97577,2678.7751,409.1252,6.290015,5.0,13.00583206104777,10.786779,6.2377763,4.36348,6.952983,0,5688724.5
272,2008,26,0.5140616,12,15,7.7625914,125.903786,344.63522,779.18713,2554.182,353.43622,7.7625914,6.1,13.191928198753661,10.749784,6.2419567,4.4667954,6.979505,1,5688724.5
273,2009,26,0.52238804,3,13,6.554454,125.9573,340.1372,738.28217,2384.0598,295.1706,6.554454,9.1,14.401439473259014,10.811222,6.2492657,4.5444107,7.100671,1,5688724.5
274,2010,26,0.528865,5,10,7.0464916,102.87878,323.2662,738.9253,2354.1992,269.29343,7.063269,9.4,14.02751789,10.740389,6.2417817,4.5365434,7.1122684,1,5688724.5
275,2000,27,0.23152709,1,0,2.2793763,23.13567,259.39304,413.02298,3040.46,216.08487,1.3676258,4.8,13.411508343087164,10.633425,5.8689384,4.5081325,6.6736374,0,921333.75
276,2001,27,0.10869565,0,2,3.865222,26.147089,310.923,417.2166,2806.1511,207.01674,2.614709,4.5,14.184909946011945,10.585675,5.9357853,4.5680084,6.737916,0,921333.75
277,2002,27,0.16607773,0,1,1.8087537,31.99233,300.81836,371.81192,2676.8425,201.56299,1.1304711,4.5,14.261344559664565,10.650625,5.9286723,4.619274,6.80721,0,921333.75
